pincode,coordinates
600001,"{'latitude': 13.077698707580566, 'longitude': 80.29171752929688}"
600002,"{'latitude': 13.070372581481934, 'longitude': 80.26915740966797}"
600003,"{'latitude': 13.075223922729492, 'longitude': 80.2757568359375}"
600004,"{'latitude': 13.031180381774902, 'longitude': 80.27835845947266}"
600005,"{'latitude': 13.058465003967283, 'longitude': 80.27957916259766}"
600006,"{'latitude': 13.059891700744627, 'longitude': 80.25011444091797}"
600007,"{'latitude': 13.080697059631348, 'longitude': 80.26139831542969}"
600008,"{'latitude': 13.072985649108888, 'longitude': 80.25811767578125}"
600009,"{'latitude': 13.07517147064209, 'longitude': 80.28475952148438}"
600010,"{'latitude': 13.085626602172852, 'longitude': 80.2348403930664}"
600011,"{'latitude': 13.116604804992676, 'longitude': 80.2324447631836}"
600012,"{'latitude': 13.09714126586914, 'longitude': 80.25680541992188}"
600013,"{'latitude': 13.107276916503906, 'longitude': 80.2929458618164}"
600014,"{'latitude': 13.058375358581545, 'longitude': 80.27367401123047}"
600015,"{'latitude': 13.023086547851562, 'longitude': 80.23052215576172}"
600016,"{'latitude': 12.999832153320312, 'longitude': 80.19483184814453}"
600017,"{'latitude': 13.036320686340332, 'longitude': 80.24226379394531}"
600018,"{'latitude': 13.047418594360352, 'longitude': 80.2554702758789}"
600019,"{'latitude': 13.152450561523438, 'longitude': 80.29962921142578}"
600020,"{'latitude': 12.988739013671877, 'longitude': 80.25281524658203}"
600021,"{'latitude': 13.125289916992188, 'longitude': 80.27446746826172}"
600022,"{'latitude': 13.00125217437744, 'longitude': 80.22831726074219}"
600023,"{'latitude': 13.09886646270752, 'longitude': 80.23104858398438}"
600024,"{'latitude': 13.04602336883545, 'longitude': 80.21502685546875}"
600025,"{'latitude': 13.012408256530762, 'longitude': 80.22747039794922}"
600026,"{'latitude': 13.052566528320312, 'longitude': 80.2115249633789}"
600027,"{'latitude': 12.991935729980469, 'longitude': 80.18450927734375}"
600028,"{'latitude': 13.027411460876465, 'longitude': 80.24456024169922}"
600029,"{'latitude': 13.07186794281006, 'longitude': 80.22515869140625}"
600030,"{'latitude': 13.078363418579102, 'longitude': 80.23336029052734}"
600031,"{'latitude': 13.070992469787598, 'longitude': 80.23543548583984}"
600032,"{'latitude': 13.008426666259766, 'longitude': 80.20716857910156}"
600033,"{'latitude': 13.032188415527344, 'longitude': 80.21943664550781}"
600034,"{'latitude': 13.054085731506348, 'longitude': 80.24946594238281}"
600035,"{'latitude': 13.028902053833008, 'longitude': 80.23949432373047}"
600036,"{'latitude': 12.991971015930176, 'longitude': 80.23571014404297}"
600037,"{'latitude': 13.088135719299316, 'longitude': 80.16182708740234}"
600038,"{'latitude': 13.098589897155762, 'longitude': 80.21397399902344}"
600039,"{'latitude': 13.120779037475586, 'longitude': 80.25550842285156}"
600040,"{'latitude': 13.083645820617676, 'longitude': 80.21783447265625}"
600041,"{'latitude': 12.95832061767578, 'longitude': 80.2560806274414}"
600042,"{'latitude': 12.976812362670898, 'longitude': 80.22148895263672}"
600043,"{'latitude': 12.97315502166748, 'longitude': 80.15863037109375}"
600044,"{'latitude': 12.956008911132812, 'longitude': 80.1435317993164}"
600045,"{'latitude': 12.925090789794922, 'longitude': 80.10086822509766}"
600046,"{'latitude': 12.904012680053713, 'longitude': 80.11371612548828}"
600047,"{'latitude': 12.94741439819336, 'longitude': 80.11653137207031}"
600048,"{'latitude': 12.893316268920898, 'longitude': 80.0798568725586}"
600049,"{'latitude': 13.120591163635254, 'longitude': 80.20599365234375}"
600050,"{'latitude': 13.09188747406006, 'longitude': 80.18424224853516}"
600051,"{'latitude': 13.16835594177246, 'longitude': 80.25100708007812}"
600052,"{'latitude': 13.196696281433104, 'longitude': 80.1810302734375}"
600053,"{'latitude': 13.134949684143066, 'longitude': 80.17259979248047}"
600054,"{'latitude': 13.1399564743042, 'longitude': 80.0931167602539}"
600055,"{'latitude': 13.157134056091309, 'longitude': 80.0412368774414}"
600056,"{'latitude': 13.040855407714844, 'longitude': 80.09207153320312}"
600057,"{'latitude': 13.18618869781494, 'longitude': 80.30985260009766}"
600058,"{'latitude': 13.094921112060549, 'longitude': 80.15312194824219}"
600059,"{'latitude': 12.930315971374512, 'longitude': 80.13375854492188}"
600060,"{'latitude': 13.144879341125488, 'longitude': 80.2333984375}"
600061,"{'latitude': 12.986557960510254, 'longitude': 80.19581604003906}"
600062,"{'latitude': 13.15478515625, 'longitude': 80.1006851196289}"
600063,"{'latitude': 13.0927734375, 'longitude': 80.10813903808594}"
600064,"{'latitude': 12.943644523620604, 'longitude': 80.13484954833984}"
600065,"{'latitude': 13.151814460754396, 'longitude': 80.0877685546875}"
600066,"{'latitude': 13.15481662750244, 'longitude': 80.20440673828125}"
600067,"{'latitude': 13.241145133972168, 'longitude': 80.23528289794922}"
600068,"{'latitude': 13.163412094116213, 'longitude': 80.26355743408203}"
600069,"{'latitude': 12.99774169921875, 'longitude': 80.09632873535156}"
600070,"{'latitude': 12.985331535339355, 'longitude': 80.1203384399414}"
600071,"{'latitude': 13.117510795593262, 'longitude': 80.07866668701172}"
600072,"{'latitude': 13.074260711669922, 'longitude': 80.07732391357422}"
600073,"{'latitude': 12.92282009124756, 'longitude': 80.1583251953125}"
600074,"{'latitude': 12.989530563354492, 'longitude': 80.14557647705078}"
600075,"{'latitude': 12.967787742614746, 'longitude': 80.11936950683594}"
600076,"{'latitude': 13.111948013305664, 'longitude': 80.19708251953125}"
600077,"{'latitude': 13.057679176330566, 'longitude': 80.12782287597656}"
600078,"{'latitude': 13.043006896972656, 'longitude': 80.1953353881836}"
600079,"{'latitude': 13.099172592163086, 'longitude': 80.2608642578125}"
600080,"{'latitude': 13.108120918273926, 'longitude': 80.18343353271484}"
600081,"{'latitude': 13.125248908996582, 'longitude': 80.29405212402344}"
600082,"{'latitude': 13.126253128051758, 'longitude': 80.23359680175781}"
600083,"{'latitude': 13.031505584716797, 'longitude': 80.2040023803711}"
600084,"{'latitude': 13.09044361114502, 'longitude': 80.25595092773438}"
600085,"{'latitude': 13.01701545715332, 'longitude': 80.24324798583984}"
600086,"{'latitude': 13.050606727600098, 'longitude': 80.25398254394531}"
600087,"{'latitude': 13.042195320129396, 'longitude': 80.17469024658203}"
600088,"{'latitude': 12.992583274841309, 'longitude': 80.20176696777344}"
600089,"{'latitude': 13.031614303588867, 'longitude': 80.17047882080078}"
600090,"{'latitude': 13.001303672790527, 'longitude': 80.26786804199219}"
600091,"{'latitude': 12.980761528015137, 'longitude': 80.1985092163086}"
600092,"{'latitude': 13.044669151306152, 'longitude': 80.1877670288086}"
600093,"{'latitude': 13.04799747467041, 'longitude': 80.19889831542969}"
600094,"{'latitude': 13.067651748657228, 'longitude': 80.21878814697266}"
600095,"{'latitude': 13.064047813415527, 'longitude': 80.16012573242188}"
600096,"{'latitude': 12.955318450927734, 'longitude': 80.2455062866211}"
600097,"{'latitude': 12.940019607543944, 'longitude': 80.2369155883789}"
600098,"{'latitude': 13.106955528259276, 'longitude': 80.16329956054688}"
600099,"{'latitude': 13.144083976745604, 'longitude': 80.20409393310547}"
600100,"{'latitude': 12.909371376037598, 'longitude': 80.23309326171875}"
600101,"{'latitude': 13.09366226196289, 'longitude': 80.19876861572266}"
600102,"{'latitude': 13.088793754577637, 'longitude': 80.2221908569336}"
600103,"{'latitude': 13.20604133605957, 'longitude': 80.23344421386719}"
600104,"{'latitude': 13.088698387145996, 'longitude': 80.29010772705078}"
600105,"{'latitude': 13.02568817138672, 'longitude': 80.02302551269531}"
600106,"{'latitude': 13.07685375213623, 'longitude': 80.21031188964844}"
600107,"{'latitude': 13.069403648376465, 'longitude': 80.1815414428711}"
600108,"{'latitude': 13.09701919555664, 'longitude': 80.29086303710938}"
600109,"{'latitude': 13.122062683105469, 'longitude': 80.1467514038086}"
600110,"{'latitude': 13.129340171813965, 'longitude': 80.23338317871094}"
600111,"{'latitude': 13.085023880004885, 'longitude': 80.21745300292969}"
600112,"{'latitude': 13.096673965454102, 'longitude': 80.2602767944336}"
600113,"{'latitude': 13.004898071289062, 'longitude': 80.24491882324219}"
600114,"{'latitude': 12.990697860717772, 'longitude': 80.18140411376953}"
600115,"{'latitude': 12.938530921936035, 'longitude': 80.2528076171875}"
600116,"{'latitude': 13.021821975708008, 'longitude': 80.14041137695312}"
600117,"{'latitude': 12.952363967895508, 'longitude': 80.17996978759766}"
600118,"{'latitude': 13.131902694702148, 'longitude': 80.26441955566406}"
600119,"{'latitude': 12.876538276672363, 'longitude': 80.24510192871094}"
600120,"{'latitude': 13.261605262756348, 'longitude': 80.29396057128906}"
600121,"{'latitude': 1.33713, 'longitude': 103.73668}"
600122,"{'latitude': 13.013324737548828, 'longitude': 80.13056945800781}"
600123,"{'latitude': 13.039084434509276, 'longitude': 80.0540542602539}"
600124,"{'latitude': 13.081096649169922, 'longitude': 80.02259826660156}"
600125,"{'latitude': 13.013083457946776, 'longitude': 80.1697769165039}"
600126,"{'latitude': 12.88974380493164, 'longitude': 80.18463897705078}"
600127,"{'latitude': 12.847139358520508, 'longitude': 80.17772674560547}"
600128,"{'latitude': 13.002762794494627, 'longitude': 80.13497924804688}"
600129,"{'latitude': 12.935791969299316, 'longitude': 80.1798095703125}"
600130,"{'latitude': 12.841833114624023, 'longitude': 80.2188720703125}"
600131,"{'latitude': 1.33379, 'longitude': 103.74433}"
600132,"{'latitude': 12.890788078308104, 'longitude': 79.89703369140625}"
600133,"{'latitude': 1.33379, 'longitude': 103.74433}"
600134,"{'latitude': 1.33379, 'longitude': 103.74433}"
600135,"{'latitude': 1.33379, 'longitude': 103.74433}"
600136,"{'latitude': 25.98067, 'longitude': 79.46254}"
600137,"{'latitude': 39.91999053955078, 'longitude': -86.28179931640625}"
600138,"{'latitude': 39.91999053955078, 'longitude': -86.28179931640625}"
600139,"{'latitude': 25.98067, 'longitude': 79.46254}"
600140,"{'latitude': 45.53518, 'longitude': 25.41214}"
600141,"{'latitude': 45.53518, 'longitude': 25.41214}"
600142,"{'latitude': 25.98067, 'longitude': 79.46254}"
600143,"{'latitude': 25.98067, 'longitude': 79.46254}"
600144,"{'latitude': 39.91999053955078, 'longitude': -86.28179931640625}"
600145,"{'latitude': 39.91999053955078, 'longitude': -86.28179931640625}"
600146,"{'latitude': 25.98067, 'longitude': 79.46254}"
600147,"{'latitude': 25.98067, 'longitude': 79.46254}"
600148,"{'latitude': 45.53518, 'longitude': 25.41214}"
600149,"{'latitude': 25.98067, 'longitude': 79.46254}"
600150,"{'latitude': 13.093151092529297, 'longitude': 80.18983459472656}"
600151,"{'latitude': 39.91999053955078, 'longitude': -86.28179931640625}"
600152,"{'latitude': 39.91999053955078, 'longitude': -86.28179931640625}"
600153,"{'latitude': 25.98067, 'longitude': 79.46254}"
600154,"{'latitude': 45.53518, 'longitude': 25.41214}"
600155,"{'latitude': 45.53518, 'longitude': 25.41214}"
600156,"{'latitude': 45.53518, 'longitude': 25.41214}"
600157,"{'latitude': 45.53518, 'longitude': 25.41214}"
600158,"{'latitude': 39.91999053955078, 'longitude': -86.28179931640625}"
600159,"{'latitude': 39.91999053955078, 'longitude': -86.28179931640625}"
600160,"{'latitude': 45.53518, 'longitude': 25.41214}"
600161,"{'latitude': 45.53518, 'longitude': 25.41214}"
600162,"{'latitude': 25.98067, 'longitude': 79.46254}"
600163,"{'latitude': 25.98067, 'longitude': 79.46254}"
600164,"{'latitude': 45.53518, 'longitude': 25.41214}"
600165,"{'latitude': 39.91999053955078, 'longitude': -86.28179931640625}"
600166,"{'latitude': 39.91999053955078, 'longitude': -86.28179931640625}"
600167,"{'latitude': 45.53518, 'longitude': 25.41214}"
600168,"{'latitude': 25.98067, 'longitude': 79.46254}"
600169,"{'latitude': 25.98067, 'longitude': 79.46254}"
600170,"{'latitude': 45.53518, 'longitude': 25.41214}"
600171,"{'latitude': 45.53518, 'longitude': 25.41214}"
600172,"{'latitude': 39.91999053955078, 'longitude': -86.28179931640625}"
600173,"{'latitude': 39.91999053955078, 'longitude': -86.28179931640625}"
600174,"{'latitude': 25.98067, 'longitude': 79.46254}"
600175,"{'latitude': 45.53518, 'longitude': 25.41214}"
600176,"{'latitude': 25.98067, 'longitude': 79.46254}"
600177,"{'latitude': 25.98067, 'longitude': 79.46254}"
600178,"{'latitude': 25.98067, 'longitude': 79.46254}"
600179,"{'latitude': 39.91999053955078, 'longitude': -86.28179931640625}"
600180,"{'latitude': 39.91999053955078, 'longitude': -86.28179931640625}"
600181,"{'latitude': 25.98067, 'longitude': 79.46254}"
600182,"{'latitude': 45.53518, 'longitude': 25.41214}"
600183,"{'latitude': 25.98067, 'longitude': 79.46254}"
600184,"{'latitude': 25.98067, 'longitude': 79.46254}"
600185,"{'latitude': 25.98067, 'longitude': 79.46254}"
600186,"{'latitude': 39.91999053955078, 'longitude': -86.28179931640625}"
600187,"{'latitude': 39.91999053955078, 'longitude': -86.28179931640625}"
600188,"{'latitude': 45.53518, 'longitude': 25.41214}"
600189,"{'latitude': 25.98067, 'longitude': 79.46254}"
600190,"{'latitude': 45.53518, 'longitude': 25.41214}"
600191,"{'latitude': 25.98067, 'longitude': 79.46254}"
600192,"{'latitude': 45.53518, 'longitude': 25.41214}"
600193,"{'latitude': 39.91999053955078, 'longitude': -86.28179931640625}"
600194,"{'latitude': 39.91999053955078, 'longitude': -86.28179931640625}"
600195,"{'latitude': 45.53518, 'longitude': 25.41214}"
600196,"{'latitude': 45.53518, 'longitude': 25.41214}"
600197,"{'latitude': 45.53518, 'longitude': 25.41214}"
600198,"{'latitude': 25.98067, 'longitude': 79.46254}"
600199,"{'latitude': 45.53518, 'longitude': 25.41214}"
600200,"{'latitude': 39.91999053955078, 'longitude': -86.28179931640625}"
600201,"{'latitude': 1.33764, 'longitude': 103.74192}"
600202,"{'latitude': 1.33764, 'longitude': 103.74192}"
600203,"{'latitude': 1.33764, 'longitude': 103.74192}"
600204,"{'latitude': 1.33764, 'longitude': 103.74192}"
600205,"{'latitude': 13.043134689331056, 'longitude': 80.20931243896484}"
600206,"{'latitude': 1.33764, 'longitude': 103.74192}"
600207,"{'latitude': 1.33764, 'longitude': 103.74192}"
600208,"{'latitude': 1.33764, 'longitude': 103.74192}"
600209,"{'latitude': 1.33764, 'longitude': 103.74192}"
600210,"{'latitude': 1.33764, 'longitude': 103.74192}"
600211,"{'latitude': 1.33764, 'longitude': 103.74192}"
600212,"{'latitude': 1.33764, 'longitude': 103.74192}"
600213,"{'latitude': 1.33764, 'longitude': 103.74192}"
600214,"{'latitude': 1.33764, 'longitude': 103.74192}"
600215,"{'latitude': 1.33764, 'longitude': 103.74192}"
600216,"{'latitude': 1.33764, 'longitude': 103.74192}"
600217,"{'latitude': 1.33764, 'longitude': 103.74192}"
600218,"{'latitude': 1.33764, 'longitude': 103.74192}"
600219,"{'latitude': 1.33764, 'longitude': 103.74192}"
600220,"{'latitude': 1.33764, 'longitude': 103.74192}"
600221,"{'latitude': 1.33764, 'longitude': 103.74192}"
600222,"{'latitude': 1.33764, 'longitude': 103.74192}"
600223,"{'latitude': 1.33764, 'longitude': 103.74192}"
600224,"{'latitude': 1.33764, 'longitude': 103.74192}"
600225,"{'latitude': 1.33764, 'longitude': 103.74192}"
600226,"{'latitude': 1.33764, 'longitude': 103.74192}"
600227,"{'latitude': 1.33764, 'longitude': 103.74192}"
600228,"{'latitude': 1.33764, 'longitude': 103.74192}"
600229,"{'latitude': 1.33764, 'longitude': 103.74192}"
600230,"{'latitude': 1.33764, 'longitude': 103.74192}"
600231,"{'latitude': 1.33764, 'longitude': 103.74192}"
600232,"{'latitude': 1.33764, 'longitude': 103.74192}"
600233,"{'latitude': 1.33764, 'longitude': 103.74192}"
600234,"{'latitude': 1.33764, 'longitude': 103.74192}"
600235,"{'latitude': 1.33764, 'longitude': 103.74192}"
600236,"{'latitude': 1.33764, 'longitude': 103.74192}"
600237,"{'latitude': 1.33764, 'longitude': 103.74192}"
600238,"{'latitude': 1.33764, 'longitude': 103.74192}"
600239,"{'latitude': 1.33764, 'longitude': 103.74192}"
600240,"{'latitude': 1.33764, 'longitude': 103.74192}"
600241,"{'latitude': 1.34289, 'longitude': 103.74033}"
600242,"{'latitude': 1.34289, 'longitude': 103.74033}"
600243,"{'latitude': 1.34289, 'longitude': 103.74033}"
600244,"{'latitude': 1.34289, 'longitude': 103.74033}"
600245,"{'latitude': 1.34289, 'longitude': 103.74033}"
600246,"{'latitude': 1.34289, 'longitude': 103.74033}"
600247,"{'latitude': 1.34289, 'longitude': 103.74033}"
600248,"{'latitude': 1.34289, 'longitude': 103.74033}"
600249,"{'latitude': 1.34289, 'longitude': 103.74033}"
600250,"{'latitude': 1.34289, 'longitude': 103.74033}"
600251,"{'latitude': 1.34289, 'longitude': 103.74033}"
600252,"{'latitude': 1.34289, 'longitude': 103.74033}"
600253,"{'latitude': 1.34289, 'longitude': 103.74033}"
600254,"{'latitude': 1.34289, 'longitude': 103.74033}"
600255,"{'latitude': 1.34289, 'longitude': 103.74033}"
600256,"{'latitude': 1.34289, 'longitude': 103.74033}"
